t,altitude_m,apoapsis_m,speed_m_s,vertical_speed_m_s,mass_kg,throttle
0.5200000000113505,90.53716251626611,119.21842716808897,23.86880168657766,24.275944316410765,27266.861328125,1.0
0.6200000000135333,92.46368165814783,123.69045911577996,24.683398000190657,24.683300979476083,27266.861328125,1.0
0.6200000000135333,92.46368165814783,123.69045911577996,24.683398000190657,24.683300979476083,27266.861328125,1.0
0.6400000000139698,92.96567949990276,125.23206160229165,25.09087462535348,25.0907747301214,27260.544921875,1.0
0.6600000000144064,93.47582868218888,126.79912468080875,25.49845936115896,25.498355918480723,27254.23046875,1.0
0.680000000014843,93.99413190793712,128.39163959480356,25.906143057432224,25.906035340801257,27247.9140625,1.0
0.680000000014843,93.99413190793712,128.39163959480356,25.906143057432224,25.906035340801257,27247.9140625,1.0
0.7000000000152795,94.52059040928725,130.00961510383058,26.31392352499511,26.31381084893179,27241.59765625,1.0
0.7000000000152795,94.52059040928725,130.00961510383058,26.31392352499511,26.31381084893179,27241.59765625,1.0
0.7200000000157161,95.05520684027579,131.65306807868183,26.72180158034369,26.721683295710097,27235.283203125,1.0
0.7200000000157161,95.05520684027579,131.65306807868183,26.72180158034369,26.721683295710097,27235.283203125,1.0
0.7200000000157161,95.05520684027579,131.65306807868183,26.72180158034369,26.721683295710097,27235.283203125,1.0
0.7200000000157161,95.05520684027579,131.65306807868183,26.72180158034369,26.721683295710097,27235.283203125,1.0
0.7400000000161526,95.5979825706454,133.32199651689734,27.129771488931233,27.12964690028313,27228.966796875,1.0
0.7400000000161526,95.5979825706454,133.32199651689734,27.129771488931233,27.12964690028313,27228.966796875,1.0
0.7400000000161526,95.5979825706454,133.32199651689734,27.129771488931233,27.12964690028313,27228.966796875,1.0
0.7600000000165892,96.14892017410602,135.01660445227753,27.537898542280903,27.537768239018913,27222.65234375,1.0
0.7600000000165892,96.14892017410602,135.01660445227753,27.537898542280903,27.537768239018913,27222.65234375,1.0
0.7600000000165892,96.14892017410602,135.01660445227753,27.537898542280903,27.537768239018913,27222.65234375,1.0
0.7600000000165892,96.14892017410602,135.01660445227753,27.537898542280903,27.537768239018913,27222.65234375,1.0
0.7800000000170257,96.70802401844412,136.7368924136972,27.94617484021893,27.946039499795674,27216.3359375,1.0
0.7800000000170257,96.70802401844412,136.7368924136972,27.94617484021893,27.946039499795674,27216.3359375,1.0
0.7800000000170257,96.70802401844412,136.7368924136972,27.94617484021893,27.946039499795674,27216.3359375,1.0
0.8000000000174623,97.2752951788716,138.4828599235043,28.354592424923858,28.354452805188032,27210.01953125,1.0
0.8000000000174623,97.2752951788716,138.4828599235043,28.354592424923858,28.354452805188032,27210.01953125,1.0
0.8000000000174623,97.2752951788716,138.4828599235043,28.354592424923858,28.354452805188032,27210.01953125,1.0
0.8000000000174623,97.2752951788716,138.4828599235043,28.354592424923858,28.354452805188032,27210.01953125,1.0
0.8000000000174623,97.2752951788716,138.4828599235043,28.354592424923858,28.354452805188032,27210.01953125,1.0
0.8200000000178989,97.85073831514455,140.2544946889393,28.76314018296124,28.762996919725126,27203.705078125,1.0
0.8200000000178989,97.85073831514455,140.2544946889393,28.76314018296124,28.762996919725126,27203.705078125,1.0
0.8200000000178989,97.85073831514455,140.2544946889393,28.76314018296124,28.762996919725126,27203.705078125,1.0
0.8200000000178989,97.85073831514455,140.2544946889393,28.76314018296124,28.762996919725126,27203.705078125,1.0
0.8400000000183354,98.43435492634308,142.05177815724164,29.171806269613626,29.17165939127758,27197.388671875,1.0
0.8400000000183354,98.43435492634308,142.05177815724164,29.171806269613626,29.17165939127758,27197.388671875,1.0
0.8400000000183354,98.43435492634308,142.05177815724164,29.171806269613626,29.17165939127758,27197.388671875,1.0
0.8400000000183354,98.43435492634308,142.05177815724164,29.171806269613626,29.17165939127758,27197.388671875,1.0
0.860000000018772,99.02614678128157,143.87472819036338,29.58059078575042,29.580440282647444,27191.07421875,1.0
0.860000000018772,99.02614678128157,143.87472819036338,29.58059078575042,29.580440282647444,27191.07421875,1.0
0.860000000018772,99.02614678128157,143.87472819036338,29.58059078575042,29.580440282647444,27191.07421875,1.0
0.8800000000192085,99.62611660792027,145.72338559152558,29.989500455870115,29.9893468892066,27184.7578125,1.0
0.8800000000192085,99.62611660792027,145.72338559152558,29.989500455870115,29.9893468892066,27184.7578125,1.0
0.8800000000192085,99.62611660792027,145.72338559152558,29.989500455870115,29.9893468892066,27184.7578125,1.0
0.8800000000192085,99.62611660792027,145.72338559152558,29.989500455870115,29.9893468892066,27184.7578125,1.0
0.9000000000196451,100.23426708462648,147.59774228802416,30.398527505069737,30.39837088818918,27178.44140625,1.0
0.9000000000196451,100.23426708462648,147.59774228802416,30.398527505069737,30.39837088818918,27178.44140625,1.0
0.9000000000196451,100.23426708462648,147.59774228802416,30.398527505069737,30.39837088818918,27178.44140625,1.0
0.9000000000196451,100.23426708462648,147.59774228802416,30.398527505069737,30.39837088818918,27178.44140625,1.0
0.9200000000200816,100.85060147941113,149.49781593726948,30.80767186716034,30.807512216598948,27172.125,1.0
0.9200000000200816,100.85060147941113,149.49781593726948,30.80767186716034,30.807512216598948,27172.125,1.0
0.9200000000200816,100.85060147941113,149.49781593726948,30.80767186716034,30.807512216598948,27172.125,1.0
0.9200000000200816,100.85060147941113,149.49781593726948,30.80767186716034,30.807512216598948,27172.125,1.0
0.9400000000205182,101.47511995234527,151.42362376255915,31.216933480840197,31.216770813758853,27165.810546875,1.0
0.9800000000213913,102.74872343474999,155.35250682150945,32.035806857703605,32.03563821856082,27153.1796875,1.0
